doc_id,title,file_path,source,docType,related_taxon,related_disease,related_location,production_mode,language,raw_file_exists,raw_file_size_bytes,inside_raw_docs
VAP_001,Ô nhiễm môi trường trầm tích vùng nuôi và rủi ro đối với hoạt động nuôi lồng bè ven biển Nam Trung Bộ,data/raw_docs/VAP_001_o_nhiem_tram_tich_vung_nuoi_long_be_nam_trung_bo.pdf,Kỷ yếu Hội nghị Nghiên cứu cơ bản trong Khoa học Trái đất và Môi trường,Conference paper,tôm hùm; marine aquaculture species,,Nam Trung Bộ; Việt Nam; vùng ven biển Nam Trung Bộ,marine aquaculture; cage culture; lobster farming; coastal aquaculture,Vietnamese,YES,330228,YES
VAWRE_001,Nghiên cứu biến động và giải pháp kiểm soát chất lượng môi trường vùng nuôi tôm tập trung tại Quảng Ninh,data/raw_docs/VAWRE_001_chat_luong_moi_truong_vung_nuoi_tom_quang_ninh.pdf,Viện Khoa học Thủy lợi Việt Nam,Thesis,tôm; shrimp,,Quảng Ninh; Việt Nam,shrimp farming; intensive shrimp farming; aquaculture environmental management,Vietnamese,YES,2396244,YES
TCKHTS_005,Tổng quan Decapod iridescent virus 1 (DIV1) gây bệnh ở tôm,data/raw_docs/TCKHTS_005_tong_quan_div1_gay_benh_o_tom.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,tôm; shrimp; tôm thẻ chân trắng; Penaeus vannamei; tôm càng xanh; Macrobrachium rosenbergii; giáp xác,Decapod iridescent virus 1; DIV1; bệnh virus trên tôm,Việt Nam; Trung Quốc; Thái Lan; Ấn Độ Dương; Đài Loan,shrimp farming; aquaculture; crustacean aquaculture,Vietnamese,YES,2153072,YES
VJAS_001,Nghiên cứu bệnh vi bào tử trùng Enterocytozoon hepatopenaei (EHP) trên tôm thẻ chân trắng nuôi tại Quảng Ninh và Nam Định,data/raw_docs/VJAS_001_ehp_tom_the_quang_ninh_nam_dinh.pdf,Tạp chí Khoa học Nông nghiệp Việt Nam,Journal article,tôm thẻ chân trắng; white-leg shrimp; Penaeus vannamei,EHP; Enterocytozoon hepatopenaei; vi bào tử trùng,Quảng Ninh; Nam Định; miền Bắc Việt Nam; Việt Nam,shrimp farming; white-leg shrimp farming; aquaculture,Vietnamese,NO,,YES
TNU_JST_001,Điều tra độc lực của vi khuẩn Vibrio parahaemolyticus gây bệnh trên tôm thẻ chân trắng,data/raw_docs/TNU_JST_001_doc_luc_vibrio_tom_the_chan_trang.pdf,TNU Journal of Science and Technology,Journal article,tôm thẻ chân trắng; white-leg shrimp; Penaeus vannamei,Vibrio parahaemolyticus; vibriosis; AHPND risk,Việt Nam,shrimp farming; white-leg shrimp farming; aquaculture,Vietnamese,NO,,YES
MDPI_001,"Prevalence of Vibrio parahaemolyticus Causing Acute Hepatopancreatic Necrosis Disease of Shrimp in Shrimp, Molluscan Shellfish and Water Samples in the Mekong Delta, Vietnam",data/raw_docs/MDPI_001_vibrio_ahpnd_mekong_delta.pdf,Biology,Journal article,shrimp; molluscan shellfish,AHPND; acute hepatopancreatic necrosis disease; Vibrio parahaemolyticus; VpAHPND,Mekong Delta; Vietnam,shrimp farming; aquaculture; pond aquaculture,English,NO,,YES
AAF_001,Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam,data/raw_docs/AAF_001_vibrio_ahpnd_diversity_vietnam.pdf,Aquaculture and Fisheries,Journal article,shrimp; Penaeus vannamei,AHPND; acute hepatopancreatic necrosis disease; Vibrio parahaemolyticus; VpAHPND,Vietnam,shrimp farming; aquaculture,English,YES,6394871,YES
DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),data/raw_docs/DLU_002_wssv_tom_cang_lay_sang_tom_the.pdf,Thư viện số Trường Đại học Đà Lạt,Journal article,tôm càng; Macrobrachium nipponense; tôm thẻ chân trắng; Litopenaeus vannamei; Penaeus vannamei,WSSV; white spot syndrome virus; bệnh đốm trắng,Việt Nam,shrimp farming; aquaculture; disease transmission,Vietnamese,YES,1883729,YES
VJMST_003,Đánh giá sức tải môi trường vực nước Thủy Triều - Cam Ranh,data/raw_docs/VJMST_003_suc_tai_moi_truong_thuy_trieu_cam_ranh.pdf,Tạp chí Khoa học và Công nghệ Biển,Journal article,thủy sản; aquatic animals,,Thủy Triều; Cam Ranh; Khánh Hòa; Việt Nam,aquaculture environmental management; coastal water management,Vietnamese,YES,1314859,YES
TCKHTS_006,Phân lập và định danh vi khuẩn Photobacterium damselae gây bệnh trên cá chim vây vàng tại Khánh Hòa bằng phương pháp sinh hóa và phân tử,data/raw_docs/TCKHTS_006_photobacterium_ca_chim_vay_vang_khanh_hoa.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,cá chim vây vàng; golden pompano; Trachinotus spp.,Photobacterium damselae; Photobacterium damselae subsp. damselae; nhiễm trùng xuất huyết; lở loét,Khánh Hòa; Việt Nam,marine fish farming; cage culture; aquaculture,Vietnamese,YES,2655417,YES
TCKHTS_007,Một số đặc điểm sinh học của vi khuẩn Vibrio harveyi gây bệnh xuất huyết lở loét ở cá chẽm nuôi tại Khánh Hòa,data/raw_docs/TCKHTS_007_vibrio_harveyi_ca_chem_khanh_hoa.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,cá chẽm; barramundi; Lates calcarifer,Vibrio harveyi; bệnh xuất huyết lở loét; hemorrhagic ulcerative disease,Vạn Ninh; Khánh Hòa; Việt Nam,marine fish farming; cage culture; aquaculture,Vietnamese,YES,1455307,YES
CTU_JOURNAL_003,Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang,data/raw_docs/CTU_JOURNAL_003_ky_sinh_trung_ca_bop_kien_giang.pdf,Tạp chí Khoa học Trường Đại học Cần Thơ,Journal article,cá bớp; cobia; Rachycentron canadum,ký sinh trùng; parasitic infection; Amyloodinium ocellatum; Cryptocaryon irritans; Neobenedenia sp.; Pseudorhabdosynochus sp.; Parapetalus sp.; Leptorhynchoides sp.; Procamallanus sp.; Anisakis sp.,Kiên Giang; Phú Quốc; Tiên Hải; Hòn Nghệ; Nam Du; Việt Nam,cage culture; marine fish farming; aquaculture,Vietnamese,YES,9474020,YES
CTU_002,Kỹ thuật sản xuất giống và nuôi cá biển,data/raw_docs/CTU_002_ky_thuat_san_xuat_giong_va_nuoi_ca_bien.pdf,Nhà xuất bản Đại học Cần Thơ,Textbook,cá biển; marine fish,,Việt Nam,marine aquaculture; hatchery; seed production; marine fish farming,Vietnamese,YES,3859131,YES
VJAS_002,Tổng quan về bệnh do vi khuẩn Streptococcus iniae gây ra trên cá biển,data/raw_docs/VJAS_002_streptococcus_iniae_benh_ca_bien.pdf,Tạp chí Khoa học Nông nghiệp Việt Nam,Journal article,cá biển; marine fish; cá chim vây vàng; cá chẽm; cá mú; cá dìa; cá giò; cá nâu,Streptococcus iniae; streptococcosis; bệnh do vi khuẩn trên cá biển,Việt Nam,marine fish farming; aquaculture; cage culture,Vietnamese,YES,1202468,YES
TCKHTS_008,Bệnh mù mắt do liên cầu khuẩn gây ra ở cá bớp nuôi tại Khánh Hòa,data/raw_docs/TCKHTS_008_streptococcus_iniae_ca_bop_khanh_hoa.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,cá bớp; cobia; Rachycentron canadum,Streptococcus iniae; bệnh mù mắt; streptococcosis,Khánh Hòa; Việt Nam,marine fish farming; cage culture; aquaculture,Vietnamese,YES,1815955,YES
TCKHTS_009,"Nghiên cứu mối quan hệ phát sinh loài của sán lá song chủ ký sinh trên cá chẽm (Lates calcarifer Bloch, 1790) nuôi tại Khánh Hòa",data/raw_docs/TCKHTS_009_san_la_song_chu_ca_chem_khanh_hoa.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,cá chẽm; seabass; Lates calcarifer,sán lá song chủ; Digenea; ký sinh trùng cá biển,Khánh Hòa; Việt Nam,marine fish farming; aquaculture,Vietnamese,YES,1041752,YES
