doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
PMC_031,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_031,Mexico,related_location,aboutLocation,mexico,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_001,marine aquaculture,production_mode,documentProductionMode,marine aquaculture,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_002,Vibrio spp.,related_disease,aboutDisease,vibrio spp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_002,Rickettsia-like bacteria,related_disease,aboutDisease,rickettsia-like bacteria,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_002,marine aquaculture,production_mode,documentProductionMode,marine aquaculture,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_003,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_003,Vibrio spp.,related_disease,aboutDisease,vibrio spp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
RIA3_003,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#RIA3_003,Rickettsia-like bacteria,related_disease,aboutDisease,rickettsia-like bacteria,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_002,Singapore,related_location,aboutLocation,singapore,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_003,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_003,Japan,related_location,aboutLocation,japan,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_004,Southeast Asia,related_location,aboutLocation,southeast asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_005,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_005,Myanmar,related_location,aboutLocation,myanmar,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_006,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_006,Philippines,related_location,aboutLocation,philippines,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_007,Philippines,related_location,aboutLocation,philippines,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_008,Thailand,related_location,aboutLocation,thailand,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_009,Indonesia,related_location,aboutLocation,indonesia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
SEAFDEC_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_011,Malaysia,related_location,aboutLocation,malaysia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TB_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_004,IMNV,related_disease,aboutDisease,imnv,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TB_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_004,hoại tử cơ truyền nhiễm,related_disease,aboutDisease,hoai tu co truyen nhiem,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TB_005,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_005,Đồng bằng sông Cửu Long,related_location,aboutLocation,ong bang song cuu long,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TB_006,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_006,IMNV,related_disease,aboutDisease,imnv,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TB_006,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_006,hoại tử cơ truyền nhiễm,related_disease,aboutDisease,hoai tu co truyen nhiem,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TCKHTS_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TCKHTS_001,Hà Tĩnh,related_location,aboutLocation,ha tinh,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TCKHTS_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TCKHTS_001,Thạch Hà,related_location,aboutLocation,thach ha,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TCKHTS_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TCKHTS_001,Cẩm Xuyên,related_location,aboutLocation,cam xuyen,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
TCKHTS_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TCKHTS_001,Nghi Xuân,related_location,aboutLocation,nghi xuan,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
